,,,,Primary Stats,,,,,,,,,Player Usage,,,,,,Key Team Stats,,,,,,,,,,,,,,Individual Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scoring-Based On-Ice Team Stats,,,,,,,,,,,,,,,,,,,,,,,,,,Other On-Ice Stats,,,,,,,,Off-Ice Team Stats,,,,,,,,,,,,,,,,Quality of Teammates Stats,,,,,,,,,,,Quality of Competition Stats,,,,,,,,,,,,,,,,
,,,,NHL,NHL,NHL,HA,NHL,NHL,CH,HA,,,,,CH,CH,,,,,Focused on Corsi,,,,,,,,,CH,CH,NHL,CH,CH,CH,HA,HA,HA,CH,CH,,CH,RV,NHL,CH,CH,,NHL,NHL,NHL,NHL,CH,CH,CH,,NHL,NHL,CH,CH,,,CH,CH,,CH,CH,CH,CH,HA,HA,HA,CH,CH,CH,CH,CH,CH,CH,CH,CH,CH,CH,CH,CH,CH,CH,CH,CH,CH,CH,,,HA,HA,HA,HA,HA,HA,HA,HA,CH,CH,CH,CH,CH,CH,CH,CH,CH,CH,CH,CH,CH,CH,CH,CH,CH,CH,CH,CH,CH,CH,CH,CH,HA,HA,HA,HA,HA,HA,HA,HA,CH,CH,CH,HA,HA,HA,HA,HA,HA,HA,HA,CH,CH,CH,,,,,,
Last Name,First Name,Position,Team,GP,G,A,A1,PTS,TOI,TOI,TOI,TOI/GP,TOI%,ZS%,RelZS%,TOI.QoT,TOI.QoC,CF.QoC,SH%,SV%,PDO,F/60,A/60,Pct%,Diff,Diff/60,RelF/60,RelA/60,RelPct%,RelDf/60,iCF,iFF,iSF,iSF,ixG,iSCF,iCF,iFF,iSF,iRB,iRS,iDS,sDist,Pass,iHF,iHF,iHA,iHDf,iMiss,iGVA,iTKA,iBLK,iGVA,iTKA,iBLK,BLK%,iFOW,iFOL,iFOW,iFOL,FO%,%FOT,iPENT,iPEND,iPenDf,OZS,DZS,NZS,OTF,OZS,DZS,NZS,OZF,DZF,NZF,CF,CA,FF,FA,SF,SA,xGF,xGA,SCF,SCA,GF,GA,RBF,RBA,RSF,RSA,DSF,DSA,CF,CA,FF,FA,SF,SA,GF,GA,FOW,FOL,HF,HA,GVA,TKA,PENT,PEND,OTOI,OCF,OCA,OFF,OFA,OSF,OSA,OxGF,OxGA,OSCF,OSCA,OGF,OGA,OOZS,ODZS,ONZS,TMCF60,TMCA60,TMFF60,TMFA60,TMSF60,TMSA60,TMGF60,TMGA60,TOI.QoT,CF.QoT,xGF.QoT,OppCF60,OppCA60,OppFF60,OppFA60,OppSF60,OppSA60,OppGF60,OppGA60,TOI.QoC,CF.QoC,xGF.QoC,Pace,,,,,
Andersson,Rasmus,D,CGY,1,0,0,,0,1,0.6,,0.29,13.6%,0.0%,0.0%,29.7%,27.4%,0.0%,0.0%,.000,0,0.0,0.0,0.0%,0,0.0,0.0,-133.0,0.0%,133.0,0,0,0,0,0.0,0,,,,0,0,0,NA,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0,0,0,0,0.0%,0.0%,0,0,0,0,0,0,1,,,,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,0,8,0,7,0,7,0,1,0,3,0,1,0,7,1,,,,,,,,,29.7,51.1,50.0,,,,,,,,,27.4,47.7,44.6,0.0,,,,,
Andreoff,Andy,LW/C,L.A,36,0,0,0,0,364,10.1,6.1,0.21,8.3%,0.0%,-7.1%,31.5%,28.8%,88.8%,0.0%,1.000,1000,15.8,42.6,27.1%,-4,-26.7,2.9,-30.8,12.1%,33.7,0,0,0,0,0.0,0,0,0,0,0,0,0,NA,0.0,1,1,0,1,0,0,0,0,0,0,0,0.0%,0,2,0,2,0.0%,66.7%,0,0,0,0,2,1,28,0,2,1,0,7,0,2,6,2,5,1,3,0.1,0.4,0,2,0,0,0,1,1,1,1,2,2,5,2,4,1,3,0,0,0,3,4,1,0,2,1,1,111.2,24,136,19,92,13,61,1,6,3,18,0,4,7,91,10,13.9,86.7,11.0,61.7,7.8,41.1,0.51,4.88,31.5,54.9,54.2,92.8,11.7,68.1,9.8,47.4,7.7,5.76,0.82,28.8,50.2,50.7,58.4,,,,,
Andrighetto,Sven,RW,COL/MTL,46,0,0,,0,43,2.9,,0.04,6.0%,0.0%,-17.6%,30.0%,28.7%,0.0%,0.0%,.000,0,0.0,20.7,0.0%,-1,-20.7,-13.3,-64.4,-13.5%,51.1,0,0,0,0,0.0,0,,,,0,0,0,NA,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0,0,0,0,0.0%,0.0%,0,0,0,0,0,0,16,,,,0,1,0,0,1,0,1,0,0,0.0,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.1,10,64,6,44,5,31,0,5,1,17,1,2,6,28,7,,,,,,,,,30.0,50.5,49.5,,,,,,,,,28.7,49.5,49.6,20.7,,,,,
Anisimov,Artem,C/LW,CHI,64,0,0,0,0,3185,59.8,50.4,0.85,25.0%,0.0%,-7.5%,31.4%,30.0%,88.8%,0.0%,.899,899,7.7,101.1,7.1%,-85,-93.4,2.0,11.6,1.1%,-9.6,3,3,3,3,0.2,0,2,2,2,0,1,1,37.4,0.0,2,2,2,0,0,0,1,4,0,1,4,4.4%,13,19,11,19,40.6%,65.2%,2,0,-2,0,43,3,81,0,43,3,1,21,9,7,91,7,68,7,49,0.2,7.8,0,27,0,5,0,6,1,1,1,7,7,93,7,69,7,50,0,5,17,29,7,3,4,7,2,2,178.9,17,267,15,195,15,136,1,15,5,52,0,16,11,136,32,6.9,108.0,5.1,81.4,4.9,59.0,0.00,8.08,31.4,50.9,50.1,99.4,12.6,74.5,10.9,52.6,8.6,6.72,0.90,30.0,50.8,50.8,108.8,,,,,
Archibald,Josh,RW,PIT,10,1,0,0,1,304,5.7,5.1,0.53,31.1%,0.0%,0.0%,29.9%,29.6%,87.6%,50.0%,1.000,1500,22.3,100.4,18.2%,-7,-78.1,12.9,34.3,5.7%,-21.4,1,1,1,1,0.4,1,1,1,1,0,1,1,8.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0,0,0,0,0.0%,0.0%,0,0,0,0,3,0,8,0,3,0,0,0,1,2,9,2,8,2,6,0.6,0.4,2,1,1,0,0,0,1,0,1,0,2,9,2,8,2,6,1,0,1,2,1,0,0,0,0,0,12.7,2,14,2,11,1,6,0,2,0,8,0,2,0,8,1,11.8,95.5,10.0,69.2,6.5,51.0,0.53,6.79,29.9,49.5,52.5,88.8,12.6,67.4,10.9,47.0,8.7,6.10,0.56,29.6,48.2,47.2,122.7,,,,,
Armia,Joel,RW,WPG,57,4,0,0,4,6297,103.4,103.3,1.82,35.9%,5.3%,-2.7%,31.6%,30.0%,88.2%,23.2%,.868,1100,12.2,95.8,11.3%,-144,-83.6,-3.7,2.2,-3.2%,-5.9,11,8,9,7,0.9,3,13,10,9,0,3,3,25.5,0.0,7,6,5,1,1,1,12,10,1,10,8,4.9%,2,2,2,2,50.0%,3.4%,1,1,0,5,88,23,82,5,89,23,7,44,30,20,164,16,115,14,91,1.3,9.6,4,36,3,12,0,10,5,2,5,12,22,166,18,115,16,91,4,12,67,49,23,10,16,19,3,4,184.6,49,288,41,212,30,146,4,19,11,68,4,15,12,137,35,12.9,107.6,11.0,76.7,8.6,53.3,1.19,7.59,31.6,48.6,51.0,98.3,13.1,73.2,11.2,51.7,8.7,6.57,0.78,30.0,51.3,51.0,108.0,,,,,
Arvidsson,Viktor,LW/RW,NSH,80,5,2,2,7,5110,92.7,83.3,1.09,26.2%,8.3%,2.7%,33.1%,29.3%,88.0%,27.3%,.830,1102,21.2,83.1,20.3%,-91,-61.9,15.0,-5.6,13.8%,20.6,17,16,12,11,1.1,5,17,16,11,0,3,3,29.0,10.3,2,2,1,1,5,2,4,8,2,4,8,6.7%,0,0,0,0,0.0%,0.0%,0,2,2,4,44,14,127,4,44,14,16,42,28,31,120,28,92,22,67,1.6,8.2,7,25,6,11,0,7,5,3,5,10,31,123,28,94,22,68,6,12,32,30,8,7,12,21,3,8,261.6,27,387,24,300,17,217,2,25,5,87,1,18,14,234,46,9.4,96.4,8.6,74.4,6.2,54.5,1.09,7.06,33.1,50.0,52.3,93.5,12.8,69.6,10.9,49.2,8.5,5.90,0.90,29.3,50.8,50.5,104.3,,,,,
Athanasiou,Andreas,C,DET,64,0,0,0,0,1989,37.6,33.2,0.54,18.2%,25.0%,14.0%,30.4%,29.0%,88.8%,0.0%,.824,824,17.0,90.3,15.9%,-43,-73.2,4.6,-2.1,4.0%,6.7,6,6,5,5,0.2,0,6,6,5,0,0,0,28.5,0.0,1,1,1,0,1,1,3,0,1,3,0,0.0%,2,1,2,1,66.7%,14.3%,0,0,0,4,12,5,48,4,12,5,4,12,9,10,53,8,45,7,34,0.3,4.3,0,14,0,6,0,3,1,2,1,5,10,53,8,45,7,34,0,6,12,9,8,1,2,4,1,1,168.8,35,260,26,196,15,141,1,15,4,55,0,5,17,138,32,12.8,101.7,9.9,75.9,6.5,55.0,0.51,6.05,30.4,48.0,47.2,99.1,12.5,74.5,10.5,53.0,8.2,6.70,0.73,29.0,50.9,50.9,107.3,,,,,
Atkinson,Cam,RW,CBJ,82,3,0,0,3,7663,135.1,126.3,1.58,34.0%,6.3%,-1.2%,32.7%,29.7%,88.5%,25.8%,.911,1170,9.9,98.8,9.1%,-194,-88.9,-2.7,15.8,-4.1%,-18.5,10,9,8,8,0.6,1,10,9,8,1,1,2,22.0,0.0,4,4,0,4,2,2,8,5,2,8,5,2.3%,1,0,1,0,100.0%,0.7%,1,2,1,8,118,26,108,8,120,26,9,62,25,21,215,18,176,15,124,1.1,17.4,3,58,4,11,1,10,2,3,3,13,22,215,19,176,16,124,4,11,67,85,14,3,10,14,4,6,262.3,55,363,50,269,42,193,4,28,19,95,4,15,15,184,42,12.1,96.7,11.2,72.9,9.4,51.4,1.01,5.46,32.7,51.7,51.8,99.6,12.9,75.0,11.0,52.7,8.7,6.98,0.90,29.7,50.6,50.7,108.7,,,,,
Austin,Brady,D,BUF,5,0,0,0,0,182,4.5,3.0,0.71,17.6%,100.0%,93.8%,29.9%,28.8%,85.6%,0.0%,1.000,1000,0.0,49.5,0.0%,-3,-49.5,-19.8,-12.6,-24.1%,-7.2,0,0,0,0,0.0,0,0,0,0,0,0,0,NA,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0,0,0,0,0.0%,0.0%,0,0,0,1,0,0,10,1,0,0,0,0,0,0,3,0,2,0,2,0.0,0.2,0,1,0,0,0,0,0,0,0,0,0,3,0,2,0,2,0,0,1,0,0,0,0,0,0,0,21.2,7,22,3,18,3,12,0,2,0,6,0,1,1,15,3,14.5,99.3,12.6,77.3,9.0,57.1,0.19,6.02,29.9,47.8,47.7,97.9,16.5,74.3,14.2,55.2,11.7,7.46,1.06,28.8,50.0,51.4,49.5,,,,,
